일시,평균 이산화탄소(CO2) 배경대기농도(ppm),평균 메탄(CH4) 배경대기농도(ppb),평균 아산화질소(N2O) 배경대기농도(ppb),평균 염화불화탄소11(CFC11) 배경대기농도(ppt),평균 염화불화탄소12(CFC12) 배경대기농도(ppt),평균 염화불화탄소113(CFC113) 배경대기농도(ppt),평균 육불화황(SF6) 배경대기농도(ppt)
1999,371.2,1861,314.6,267.8,536,0,0
2000,373.3,1858,314.9,266.8,539,0,0
2001,375.6,1851,316,264.9,539.9,0,0
2002,377.6,1862,318.3,264,543,0,0
2003,379.9,1874,319.4,259.1,539.6,0,0
2004,382.1,1872,0,259.3,538,0,0
2005,384.3,1855,0,264.7,540.6,0,0
2006,386.5,1866,321.7,251.8,530,0,0
2007,388.6,1890,321.9,230.9,535.2,81.4,6.3
2008,390.7,1889,322.7,237.3,522.2,76.8,6.6
2009,392.6,1900,323.8,246.9,527.7,78.2,7.3
2010,394.9,1901,324.9,230.8,525.9,73.6,7.7
2011,396.8,1907,324.2,242.8,506.8,76.1,8.1
2012,399.9,1919,326.5,214.9,509.9,74.9,8.1
2013,402.4,1931,326.1,218.8,516.2,72.6,8.2
2014,404.6,1941,325.8,235.5,521.1,72.4,9.2
2015,407,1952,329,233.6,520.7,71.8,9.3
2016,409.9,1965,330,239.4,529.8,72.6,9.5
2017,412.2,1970,331.4,230.9,510.2,71.2,9.6
2018,412.7,1974,332.6,228.3,502.7,70.1,9.8
2019,419,1982,334.7,224,496.8,68.9,10.5
2020,419,1982,334.7,224,496.8,68.9,10.5
2021,421.8,1992,335.8,221.6,493.3,69,11.1
2022,423.7,2004,337.4,218.1,489.3,68.7,11.4
